"","y0_1","y0_2","fY.1000"
"158",12,-3.5,1.28609493219375e-05
"159",12.5,-3.5,8.09217585043601e-06
"160",13,-3.5,3.11133855828323e-06
"161",13.5,-3.5,9.94493409607004e-07
"162",14,-3.5,4.36397789858866e-07
"163",14.5,-3.5,2.89506894325427e-07
"164",15,-3.5,2.55967463418829e-07
"165",-5,-3,6.28329057378795e-05
"166",-4.5,-3,9.25174605473786e-05
"167",-4,-3,0.000147114215673486
"168",-3.5,-3,0.000229796937540026
"169",-3,-3,0.000312130714679718
"170",-2.5,-3,0.000400102353996904
"171",-2,-3,0.000504441289349241
"172",-1.5,-3,0.000633048449832798
"173",-1,-3,0.00075768314573726
"174",-0.5,-3,0.000875150692230554
"175",0,-3,0.0010067320782049
"176",0.5,-3,0.00116638348161171
"177",1,-3,0.00132653164563632
"178",1.5,-3,0.0014865835464004
"179",2,-3,0.00162965560437848
"180",2.5,-3,0.00165030233288544
"181",3,-3,0.00167088620432135
"182",3.5,-3,0.00166489296917225
"183",4,-3,0.00160851721364015
"184",4.5,-3,0.00148714350362122
"185",5,-3,0.00134352807207554
"186",5.5,-3,0.00118386711109441
"187",6,-3,0.00101906157215445
"188",6.5,-3,0.000852546886399004
"189",7,-3,0.000690360191377802
"190",7.5,-3,0.00054864513253972
"191",8,-3,0.000426388453350677
"192",8.5,-3,0.000339212741733612
"193",9,-3,0.000249208305110136
"194",9.5,-3,0.000175321646109684
"195",10,-3,0.000127573730242272
"196",10.5,-3,9.32020980305039e-05
"197",11,-3,6.68715403368292e-05
"198",11.5,-3,3.78761214348686e-05
"199",12,-3,2.08835750934887e-05
"200",12.5,-3,1.17025657125224e-05
"201",13,-3,5.55699752984238e-06
"202",13.5,-3,2.53999327696797e-06
"203",14,-3,1.32197367178032e-06
"204",14.5,-3,8.80500482180069e-07
"205",15,-3,7.2693029009312e-07
"206",-5,-2.5,8.31741870842243e-05
"207",-4.5,-2.5,0.000128715711458123
"208",-4,-2.5,0.000201963273450147
"209",-3.5,-2.5,0.000304837398563285
"210",-3,-2.5,0.00042717225807922
"211",-2.5,-2.5,0.000584020487146724
"212",-2,-2.5,0.000782855172528113
"213",-1.5,-2.5,0.00100363149603756
"214",-1,-2.5,0.00120049993715432
"215",-0.5,-2.5,0.00139680474228059
"216",0,-2.5,0.00165253849953314
"217",0.5,-2.5,0.0019358209591246
"218",1,-2.5,0.00216135804435499
"219",1.5,-2.5,0.00241366290323522
"220",2,-2.5,0.00259847755110964
"221",2.5,-2.5,0.00270038930801134
"222",3,-2.5,0.0027296564758274
"223",3.5,-2.5,0.00274530303812729
"224",4,-2.5,0.00267285647861896
