"","x0","fx.n_100","fx.n_1000","fx.true"
"1544",10.43,0.0174589970411724,0.0152441380744117,0.0133733720330723
"1545",10.44,0.0173565753802023,0.0151437552066557,0.0132780934498771
"1546",10.45,0.017254661314552,0.015044005725056,0.0131833471964567
"1547",10.46,0.0171532518638202,0.0149448908197654,0.0130891315723043
"1548",10.47,0.0170523441984362,0.0148464112275,0.0129954448714319
"1549",10.48,0.0169519356090524,0.0147485672253729,0.0129022853824852
"1550",10.49,0.0168520234762666,0.0146513586271218,0.0128096513888581
"1551",10.5,0.0167526052411835,0.0145547847817696,0.012717541168806
"1552",10.51,0.0166536783772753,0.0144588445747337,0.0126259529955592
"1553",10.52,0.0165552403639402,0.0143635364313747,0.0125348851374352
"1554",10.53,0.0164572886621109,0.0142688583229514,0.0124443358579513
"1555",10.54,0.0163598206922152,0.0141748077749242,0.0123543034159355
"1556",10.55,0.0162628338147465,0.0140813818775277,0.0122647860656378
"1557",10.56,0.0161663253136592,0.0139885772985094,0.0121757820568406
"1558",10.57,0.0160702923827688,0.0138963902979119,0.0120872896349687
"1559",10.58,0.0159747321153003,0.0138048167447561,0.0119993070411984
"1560",10.59,0.0158796414966975,0.0137138521354666,0.0119118325125661
"1561",10.6,0.0157850174007787,0.0136234916138638,0.0118248642820771
"1562",10.61,0.0156908565892966,0.0135337299925342,0.0117384005788128
"1563",10.62,0.0155971557149359,0.0134445617753807,0.0116524396280378
"1564",10.63,0.0155039113277601,0.0133559811811449,0.0115669796513063
"1565",10.64,0.0154111198850934,0.0132679821676868,0.0114820188665684
"1566",10.65,0.0153187777648035,0.0131805584568058,0.011397555488275
"1567",10.66,0.0152268812819241,0.0130937035593837,0.0113135877274831
"1568",10.67,0.0151354267085326,0.013007410800634,0.0112301137919592
"1569",10.68,0.0150444102967709,0.012921673345242,0.0111471318862838
"1570",10.69,0.0149538283048651,0.012836484222193,0.0110646402119537
"1571",10.7,0.0148636770259698,0.0127518363490865,0.0109826369674848
"1572",10.71,0.014773952819624,0.0126677225557521,0.0109011203485137
"1573",10.72,0.0146846521455681,0.0125841356069909,0.0108200885478991
"1574",10.73,0.0145957715996254,0.0125010682242829,0.0107395397558227
"1575",10.74,0.0145073079513062,0.0124185131063161,0.0106594721598883
