"","y0_1","y0_2","fY.100"
"1",-5,-5,1.14606572354739e-05
"2",-4.5,-5,1.79455976185709e-05
"3",-4,-5,2.8262493113006e-05
"4",-3.5,-5,4.30260539356832e-05
"5",-3,-5,6.22470785246458e-05
"6",-2.5,-5,8.48880864465444e-05
"7",-2,-5,0.00010950622250048
"8",-1.5,-5,0.000135425402621478
"9",-1,-5,0.000162714078473728
"10",-0.5,-5,0.000190437161478257
"11",0,-5,0.000215820895336471
"12",0.5,-5,0.000236346218013708
"13",1,-5,0.000251578128842855
"14",1.5,-5,0.000262028142603893
"15",2,-5,0.00026786162216176
"16",2.5,-5,0.000271195778817474
"17",3,-5,0.000281781485282946
"18",3.5,-5,0.000296352915159373
"19",4,-5,0.000277525545325625
"20",4.5,-5,0.00023412294803994
"21",5,-5,0.000204456264528038
"22",5.5,-5,0.000186871832295386
"23",6,-5,0.000171801129206655
"24",6.5,-5,0.000156278808393218
"25",7,-5,0.00013948700666331
"26",7.5,-5,0.000121497349588523
"27",8,-5,0.000102406836729332
"28",8.5,-5,8.19711330752993e-05
"29",9,-5,6.09834745792623e-05
"30",9.5,-5,4.20141148381225e-05
"31",10,-5,2.74805567118564e-05
"32",10.5,-5,1.77405922722248e-05
"33",11,-5,1.15656489218193e-05
"34",11.5,-5,7.56505563158585e-06
"35",12,-5,4.8524320542869e-06
"36",12.5,-5,2.98487962842197e-06
"37",13,-5,1.73551452335617e-06
"38",13.5,-5,9.48195535111492e-07
"39",14,-5,4.87533308279078e-07
"40",14.5,-5,2.37679821047384e-07
"41",15,-5,1.11103571564714e-07
"42",-5,-4.5,2.23720847998309e-05
"43",-4.5,-4.5,3.1803270957158e-05
"44",-4,-4.5,4.9128427908138e-05
"45",-3.5,-4.5,7.39845551118333e-05
"46",-3,-4.5,0.000106296511117506
"47",-2.5,-4.5,0.000144489196092997
"48",-2,-4.5,0.000186487846047326
"49",-1.5,-4.5,0.000231820272292298
"50",-1,-4.5,0.000281191621392397
"51",-0.5,-4.5,0.000332410856978026
"52",0,-4.5,0.000378640459494619
"53",0.5,-4.5,0.000414770413254466
"54",1,-4.5,0.000441435479228219
"55",1.5,-4.5,0.000459994619944344
"56",2,-4.5,0.000470194611424587
"57",2.5,-4.5,0.000474275200384119
"58",3,-4.5,0.000483123962466065
"59",3.5,-4.5,0.000493747743728299
"60",4,-4.5,0.000466521789809859
"61",4.5,-4.5,0.000411162192734407
"62",5,-4.5,0.00036878427539232
"63",5.5,-4.5,0.000337708665047735
"64",6,-4.5,0.000308117809678172
"65",6.5,-4.5,0.000277323301315958
"66",7,-4.5,0.000244982875893707
"67",7.5,-4.5,0.000211636759917368
"68",8,-4.5,0.000177755582419262
"69",8.5,-4.5,0.000142561326597827
"70",9,-4.5,0.000106567718905071
"71",9.5,-4.5,7.38040879966482e-05
"72",10,-4.5,4.85433229450594e-05
"73",10.5,-4.5,3.15779404256158e-05
"74",11,-4.5,2.08177968136068e-05
"75",11.5,-4.5,1.38086668324924e-05
"76",12,-4.5,8.98710828703688e-06
"77",12.5,-4.5,5.60187631849288e-06
"78",13,-4.5,3.29322655518173e-06
"79",13.5,-4.5,1.81459408662824e-06
"80",14,-4.5,9.38366533459685e-07
"81",14.5,-4.5,4.58672817929228e-07
"82",15,-4.5,2.14239756902592e-07
"83",-5,-4,4.11263477944336e-05
"84",-4.5,-4,5.33829958094311e-05
"85",-4,-4,8.10948319632883e-05
"86",-3.5,-4,0.000120454270710033
"87",-3,-4,0.000171459755961681
"88",-2.5,-4,0.000232640934549108
"89",-2,-4,0.000301297592133098
"90",-1.5,-4,0.000377329011505842
"91",-1,-4,0.00046295122600498
"92",-0.5,-4,0.000554324042926464
"93",0,-4,0.000634644575045078
"94",0.5,-4,0.000693270886640646
"95",1,-4,0.000737444998769597
"96",1.5,-4,0.000771385414285881
"97",2,-4,0.000791298124428569
"98",2.5,-4,0.000796226657116322
"99",3,-4,0.000792034909620041
"100",3.5,-4,0.00077981620340821
"101",4,-4,0.000745499530819273
"102",4.5,-4,0.000695695756542177
"103",5,-4,0.000646295579220331
"104",5.5,-4,0.000593034530549315
"105",6,-4,0.000537270317172419
"106",6.5,-4,0.000480886432312184
"107",7,-4,0.000422090444839289
"108",7.5,-4,0.000358919496843713
"109",8,-4,0.000295631483052218
"110",8.5,-4,0.000234517895746115
"111",9,-4,0.000175260018834874
"112",9.5,-4,0.000122339467546212
"113",10,-4,8.16092862748835e-05
"114",10.5,-4,5.40172939987016e-05
"115",11,-4,3.62163505968476e-05
"116",11.5,-4,2.43772934954009e-05
"117",12,-4,1.60644556074235e-05
"118",12.5,-4,1.0121909131046e-05
"119",13,-4,6.00786116001713e-06
"120",13.5,-4,3.33911275363042e-06
"121",14,-4,1.73985634163231e-06
"122",14.5,-4,8.55642010270119e-07
"123",15,-4,4.01254072340888e-07
"124",-5,-3.5,6.32754498703286e-05
"125",-4.5,-3.5,8.67206503441624e-05
"126",-4,-3.5,0.000132443050477295
"127",-3.5,-3.5,0.000190918556485666
"128",-3,-3.5,0.000264253156390589
"129",-2.5,-3.5,0.000355870740702066
"130",-2,-3.5,0.00046230049180518
"131",-1.5,-3.5,0.00058292619337386
"132",-1,-3.5,0.00072304096141507
"133",-0.5,-3.5,0.00087917483186296
"134",0,-3.5,0.00101578923704796
"135",0.5,-3.5,0.00110729808992979
"136",1,-3.5,0.00117677615111004
"137",1.5,-3.5,0.0012396091800428
"138",2,-3.5,0.00128079785086625
"139",2.5,-3.5,0.00129259560192039
"140",3,-3.5,0.00128147974703928
"141",3.5,-3.5,0.00125359598484097
"142",4,-3.5,0.00121339931517378
"143",4.5,-3.5,0.00117322527855524
"144",5,-3.5,0.00111885781026227
"145",5.5,-3.5,0.00101631633693581
"146",6,-3.5,0.000907936003538712
"147",6.5,-3.5,0.000811982647300203
"148",7,-3.5,0.000712850815694072
"149",7.5,-3.5,0.000595311305528897
"150",8,-3.5,0.000476382662502925
"151",8.5,-3.5,0.000372413605294125
"152",9,-3.5,0.000278549358321678
"153",9.5,-3.5,0.000195471401171709
"154",10,-3.5,0.000131968769889087
"155",10.5,-3.5,8.92218400599658e-05
"156",11,-3.5,6.11292138564366e-05
"157",11.5,-3.5,4.18236486282894e-05
"158",12,-3.5,2.78803745503065e-05
"159",12.5,-3.5,1.77277891382389e-05
"160",13,-3.5,1.06129231000996e-05
"161",13.5,-3.5,5.95076111462352e-06
"162",14,-3.5,3.12931892392244e-06
"163",14.5,-3.5,1.55343756042804e-06
"164",15,-3.5,7.34927700717254e-07
"165",-5,-3,9.08698884731761e-05
"166",-4.5,-3,0.000140808412557324
"167",-4,-3,0.000216221328417089
"168",-3.5,-3,0.000297267800764098
"169",-3,-3,0.000392173121124064
"170",-2.5,-3,0.000520351107919993
"171",-2,-3,0.000677235367795721
"172",-1.5,-3,0.000857875709941651
"173",-1,-3,0.00106680525827934
"174",-0.5,-3,0.00130376617345497
"175",0,-3,0.00152570693282687
"176",0.5,-3,0.0016850777698893
"177",1,-3,0.00180978154773322
"178",1.5,-3,0.00192726685601143
"179",2,-3,0.00201258205697029
"180",2.5,-3,0.00205039473184065
"181",3,-3,0.00203079125213257
"182",3.5,-3,0.00199554530620357
"183",4,-3,0.00195037611630073
"184",4.5,-3,0.00191210983543327
"185",5,-3,0.00183851434693376
"186",5.5,-3,0.0016571178797807
"187",6,-3,0.00146617170455197
