"","ols.est","dwade"
"dat$lot",1,1
"dat$bdms",0.113480950180982,1.52487329737315
"dat$fb",0.546849819752573,-0.256747382612982
"dat$sty",0.302465270482697,0.54216992940082
"dat$drv",0.36355173599232,1.2412607056901
"dat$rec",0.191253380613145,0.0736939431557539
"dat$ffin",0.344701868801037,2.92305484995171
"dat$ghw",0.590590392631634,-0.734576594693226
"dat$ca",0.549025220130238,1.90214335722757
"dat$gar",0.158199371587271,1.34607187664136
"dat$reg",0.434970942606316,1.90214335722757
